País,Ano,Volume Litro,Valor
Chipre,2021,224,232.0
Colômbia,2021,11082,14051.0
Costa Rica,2021,2160,1440.0
Coveite,2021,10038,14424.0
Curaçao,2021,1050,1641.0
Dinamarca,2021,206,294.0
Emirados Árabes Unidos,2021,1548,2383.0
Estados Unidos,2021,702976,1381158.0
Filipinas,2021,64,109.0
Gibraltar,2021,108,247.0
Grécia,2021,10,16.0
Guiana,2021,24,38.0
Guiana Francesa,2021,396,474.0
Haiti,2021,4818,4706.0
Hong Kong,2021,2010,2564.0
Ilha de Man,2021,14,60.0
India,2021,258,360.0
Irã,2021,5,84.0
Itália,2021,4968,14205.0
Japão,2021,950486,2082222.0
Líbano,2021,14880,23946.0
Libéria,2021,878,1123.0
Líbia,2021,285756,476853.0
Luxemburgo,2021,130,430.0
Malta,2021,1500,2360.0
"Marshall, Ilhas",2021,4282,6165.0
México,2021,8829,21188.0
Moçambique,2021,477,441.0
Montenegro,2021,12,12.0
Noruega,2021,592,1328.0
Nova Caledônia,2021,924,1095.0
Países Baixos,2021,7194,23063.0
Panamá,2021,3376,5698.0
Paraguai,2021,233881,253691.0
Porto Rico,2021,24380,53636.0
Portugal,2021,222502,164783.0
Reino Unido,2021,8829,16213.0
República Dominicana,2021,27825,84068.0
Singapura,2021,2020,3510.0
Suíça,2021,276,826.0
Suriname,2021,5300,17596.0
Tailândia,2021,2,4.0
Taiwan (Formosa),2021,60813,122005.0
Vanuatu,2021,12,8.0
África do Sul,2022,34344,49753.0
"Alemanha, República Democrática da",2022,5,24.0
Angola,2022,86536,91839.0
Antígua e Barbuda,2022,48,57.0
Argentina,2022,1060,4845.0
Austrália,2022,15499,34539.0
Bahamas,2022,1374,2511.0
Bangladesh,2022,48,68.0
Barbados,2022,153,362.0
Barein,2022,24,7.0
Bélgica,2022,3210,7586.0
Belize,2022,45,333.0
Bolívia,2022,22695,29041.0
Canadá,2022,43210,105551.0
"Cayman, Ilhas",2022,396,445.0
Chile,2022,2923,1932.0
China,2022,1212412,2226651.0
Chipre,2022,114,142.0
Coreia do Sul,2022,39780,64740.0
Curaçao,2022,403,802.0
Dinamarca,2022,36,27.0
Equador,2022,13800,17716.0
Estados Unidos,2022,431004,848282.0
Filipinas,2022,12389,12734.0
Finlândia,2022,45,89.0
França,2022,2,1.0
Gana,2022,35559,55463.0
Gibraltar,2022,48,46.0
Granada,2022,120,167.0
Grécia,2022,144,160.0
Guiana,2022,6,19.0
Guiana Francesa,2022,90,46.0
Haiti,2022,267,36.0
Hong Kong,2022,15159,28840.0
Ilha de Man,2022,24,25.0
India,2022,220,496.0
Irlanda,2022,3728,5977.0
Itália,2022,6120,13764.0
Japão,2022,2187768,4777682.0
Libéria,2022,1618,2054.0
Líbia,2022,265152,278404.0
Luxemburgo,2022,24,23.0
Malásia,2022,16695,36729.0
Malta,2022,915,1564.0
"Marshall, Ilhas",2022,4002,6122.0
México,2022,4516,10837.0
Nigéria,2022,1530,2430.0
Noruega,2022,590,1034.0
Nova Zelândia,2022,791,1741.0
Países Baixos,2022,793,1498.0
Panamá,2022,5146,8912.0
Paraguai,2022,167679,196541.0
Peru,2022,38173,81563.0
Porto Rico,2022,24380,53636.0
Portugal,2022,146637,133524.0
Reino Unido,2022,6412,13508.0
República Dominicana,2022,25440,80791.0
Rússia,2022,24,37.0
Singapura,2022,1449,2509.0
Suíça,2022,144,155.0
Suriname,2022,2650,6758.0
Taiwan (Formosa),2022,33375,93988.0
Vanuatu,2022,12,9.0
"Alemanha, República Democrática da",2023,33,39.0
Angola,2023,55683,68724.0
Argentina,2023,795,3808.0
Austrália,2023,9228,20692.0
Bahamas,2023,463,674.0
Bangladesh,2023,302,352.0
Barbados,2023,187,545.0
Bélgica,2023,27,67.0
Bolívia,2023,22246,31793.0
Cabo Verde,2023,90,170.0
Canadá,2023,29504,72670.0
Catar,2023,1,8.0
Chile,2023,3,6.0
China,2023,737608,1525476.0
Chipre,2023,156,40.0
Coreia do Sul,2023,46146,129150.0
Curaçao,2023,336,1122.0
Dinamarca,2023,200,299.0
Emirados Árabes Unidos,2023,1163,1213.0
Equador,2023,21876,30774.0
Espanha,2023,44592,25002.0
Estados Unidos,2023,866096,2125880.0
Filipinas,2023,655,748.0
França,2023,192,263.0
Gana,2023,103346,175088.0
Grécia,2023,412,438.0
Guiana,2023,114,300.0
Guiana Francesa,2023,300,90.0
Haiti,2023,890,569.0
Hong Kong,2023,9236,14083.0
Ilha de Man,2023,144,202.0
Indonésia,2023,2,3.0
Irlanda,2023,930,2373.0
Itália,2023,1655,1952.0
Japão,2023,2583100,6376989.0
Líbano,2023,16800,25432.0
Libéria,2023,1231,1737.0
Líbia,2023,74988,95805.0
Malta,2023,1575,2007.0
"Marshall, Ilhas",2023,2936,4694.0
Nigéria,2023,12390,16966.0
Noruega,2023,12,19.0
Nova Zelândia,2023,6984,17987.0
Países Baixos,2023,36,55.0
Panamá,2023,11770,14148.0
Paraguai,2023,319087,366822.0
Peru,2023,34700,73918.0
Portugal,2023,79062,88208.0
Reino Unido,2023,5290,13668.0
República Dominicana,2023,25440,78719.0
Singapura,2023,1749,3686.0
Suriname,2023,8480,23701.0
Tailândia,2023,24,37.0
Taiwan (Formosa),2023,54173,132752.0
Toquelau,2023,24,39.0
Turquia,2023,230,455.0
Venezuela,2023,30206,47287.0
